Price,Close,High,Low,Open,Volume,EMA12,EMA26,MACD_Line,Signal_Line,Histogram
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Datetime,,,,,,,,,,
2024-12-30 16:51:00+00:00,422.7999878,423.2499084,422.2600098,422.5,89591,422.3990209,422.0147812,0.384239685,0.4156018,-0.031362115
2024-12-30 16:52:00+00:00,423.0249939,423.2000122,422.6099854,422.8150024,73274,422.4953245,422.0896118,0.405712652,0.413623971,-0.007911319
2024-12-30 16:53:00+00:00,423.7390137,423.8800049,423,423.1047058,162179,422.6866613,422.2117897,0.474871537,0.425873484,0.048998053
2024-12-30 16:54:00+00:00,423.7398987,423.8800049,423,423.7489014,106727,422.8486978,422.324983,0.523714807,0.445441749,0.078273059
2024-12-30 16:55:00+00:00,423.5799866,424,423.4500122,423.6199951,113102,422.9612038,422.4179462,0.543257545,0.465004908,0.078252637
2024-12-30 16:56:00+00:00,424.480011,424.5,423.2099915,423.5,178253,423.1948664,422.5706918,0.624174657,0.496838858,0.127335799
2024-12-30 16:57:00+00:00,423.6994934,424.4696045,423.5899963,424.4628906,105902,423.2725013,422.6543067,0.618194642,0.521110015,0.097084628
2024-12-30 16:58:00+00:00,423.1900024,423.8999939,423.0856018,423.8699951,65098,423.2598092,422.6939879,0.565821339,0.530052279,0.035769059
2024-12-30 16:59:00+00:00,423.6600037,424.1799011,423.1268005,423.1268005,89226,423.3213776,422.7655446,0.555832992,0.535208422,0.02062457
2024-12-30 17:00:00+00:00,424.0289001,424.5,423.3999939,423.5083923,103737,423.4302272,422.8591265,0.571100725,0.542386882,0.028713842
2024-12-30 17:01:00+00:00,423.980011,424.4899902,423.9283142,424.1365051,70872,423.5148093,422.942155,0.572654363,0.548440379,0.024213985
2024-12-30 17:02:00+00:00,424.8200073,424.9700012,423.9500122,424.0899963,112438,423.715609,423.0812551,0.634353881,0.565623079,0.068730802
2024-12-30 17:03:00+00:00,424.6771851,424.980011,424.2940063,424.9399109,117424,423.8635438,423.1994722,0.664071625,0.585312788,0.078758837
2024-12-30 17:04:00+00:00,423.6700134,424.6600037,423.5,424.6600037,100553,423.8337699,423.2343271,0.599442815,0.588138794,0.011304021
2024-12-30 17:05:00+00:00,423.6101074,424.1099854,423.5621033,423.6400146,56458,423.7993603,423.2621627,0.537197624,0.57795056,-0.040752936
2024-12-30 17:06:00+00:00,422.9045105,423.7988892,422.7800903,423.6820068,128143,423.6616911,423.2356699,0.426021179,0.547564684,-0.121543505
2024-12-30 17:07:00+00:00,423,423.6199951,422.8598022,423.0490112,77936,423.5598925,423.2182129,0.341679581,0.506387663,-0.164708082
2024-12-30 17:08:00+00:00,423.25,423.5599976,422.9299927,422.940094,66082,423.5122167,423.2205675,0.291649217,0.463439974,-0.171790757
2024-12-30 17:09:00+00:00,423.0899963,423.2999878,422.9215088,423.2999878,40603,423.4472597,423.2108955,0.236364175,0.418024814,-0.181660639
2024-12-30 17:10:00+00:00,423.6149902,423.7000122,423.0499878,423.1000061,64046,423.4730644,423.2408285,0.23223593,0.380867037,-0.148631107
2024-12-30 17:11:00+00:00,422.8500061,423.5922852,422.8500061,423.5599976,58268,423.3772093,423.2118787,0.165330612,0.337759752,-0.17242914
2024-12-30 17:12:00+00:00,422.25,422.9500122,421.8699951,422.9150085,137972,423.2037925,423.1406284,0.063164071,0.282840616,-0.219676545
2024-12-30 17:13:00+00:00,422.3200073,422.4498901,421.7001038,422.256012,92104,423.0678255,423.0798417,-0.012016128,0.223869267,-0.235885396
2024-12-30 17:14:00+00:00,421.6099854,422.3999939,421.5249939,422.241394,70798,422.8435424,422.9709634,-0.127420987,0.153611216,-0.281032204
2024-12-30 17:15:00+00:00,421.5849915,422,421.5101013,421.6099854,67804,422.6499192,422.8682988,-0.218379624,0.079213048,-0.297592672
